Date,Open,High,Low,Close,Volume,Adj Close
2017-03-30,17.25,17.690001,17.219999,17.65,10804000,17.65
2017-03-29,17.200001,17.379999,17.17,17.26,5298700,17.26
2017-03-28,17.23,17.41,17.200001,17.26,8728200,17.26
2017-03-27,17.09,17.309999,17.030001,17.200001,5698100,17.200001
2017-03-24,17.280001,17.40,17.129999,17.23,6583700,17.23
2017-03-23,17.23,17.379999,17.139999,17.209999,9156900,17.209999
2017-03-22,17.219999,17.299999,17.10,17.23,10520200,17.23
2017-03-21,17.620001,17.690001,17.15,17.15,9559600,17.15
2017-03-20,17.57,17.68,17.52,17.559999,6598900,17.559999
2017-03-17,17.65,17.700001,17.559999,17.559999,14247400,17.559999
2017-03-16,17.60,17.709999,17.48,17.65,8983700,17.65
2017-03-15,17.440001,17.65,17.280001,17.57,10624400,17.57
2017-03-14,17.459999,17.58,17.41,17.469999,6333200,17.469999
2017-03-13,17.41,17.49,17.35,17.49,6501100,17.49
2017-03-10,17.25,17.60,17.25,17.389999,7838600,17.389999
2017-03-09,17.25,17.42,17.18,17.360001,8505400,17.360001
2017-03-08,17.299999,17.40,17.219999,17.32,6745700,17.32
2017-03-07,17.27,17.42,17.049999,17.27,11528000,17.27
2017-03-06,17.440001,17.440001,17.129999,17.299999,11163100,17.299999
2017-03-03,17.299999,17.40,17.120001,17.35,14165500,17.217001
2017-03-02,17.66,17.690001,17.309999,17.32,12229200,17.18723
2017-03-01,17.65,17.709999,17.450001,17.620001,9818700,17.484931
2017-02-28,17.639999,17.67,17.370001,17.370001,13940100,17.236848
2017-02-27,17.65,17.809999,17.48,17.65,12287500,17.5147
2017-02-24,17.34,17.68,17.309999,17.65,19816100,17.5147
2017-02-23,16.51,17.799999,16.48,17.60,37118800,17.465084
2017-02-22,16.09,16.24,16.09,16.200001,16654200,16.075817
2017-02-21,15.93,16.219999,15.93,16.129999,17318100,16.006352
2017-02-17,15.88,15.95,15.72,15.95,17366700,15.827732
2017-02-16,15.99,16.030001,15.89,15.92,12560000,15.797962
2017-02-15,16.040001,16.139999,15.89,15.98,14448300,15.857502
2017-02-14,15.96,16.41,15.95,16.059999,17086200,15.936888
2017-02-13,15.75,16.110001,15.70,16.040001,16142000,15.917043
2017-02-10,15.65,15.74,15.55,15.72,10006400,15.599496
2017-02-09,15.51,15.77,15.45,15.64,7709400,15.520109
2017-02-08,15.41,15.64,15.39,15.51,13204300,15.391105
2017-02-07,15.26,15.44,15.16,15.43,12330300,15.311719
2017-02-06,15.17,15.30,15.09,15.26,7975400,15.143022
2017-02-03,15.22,15.32,15.12,15.27,11659500,15.152945
2017-02-02,14.89,15.22,14.87,15.21,15599600,15.093405
2017-02-01,15.12,15.16,14.84,14.99,12433800,14.875091
2017-01-31,14.77,15.11,14.57,15.05,14889600,14.934631
2017-01-30,14.83,14.85,14.62,14.84,11239700,14.726241
2017-01-27,14.83,15.11,14.78,14.80,14921400,14.686548
2017-01-26,15.22,15.31,14.77,14.79,14419200,14.676624
2017-01-25,15.26,15.35,15.12,15.19,16223300,15.073558
2017-01-24,14.70,15.25,14.67,15.17,12369700,15.053712
2017-01-23,14.71,14.73,14.41,14.67,15250500,14.557544
2017-01-20,14.96,14.99,14.60,14.73,14687000,14.617084
2017-01-19,14.81,15.02,14.75,14.86,15081800,14.746087
2017-01-18,14.61,14.70,14.50,14.58,13664400,14.468234
2017-01-17,14.68,14.89,14.56,14.58,11976800,14.468234
2017-01-13,14.79,14.94,14.69,14.77,9336200,14.656778
2017-01-12,14.89,14.96,14.56,14.79,11507700,14.676624
2017-01-11,14.71,14.97,14.62,14.94,15009300,14.825474
2017-01-10,14.65,14.97,14.40,14.69,15888200,14.577391
2017-01-09,14.98,15.09,14.67,14.68,12908400,14.567468
2017-01-06,15.15,15.16,14.97,15.00,7494200,14.885015
2017-01-05,15.10,15.16,14.90,15.07,13221100,14.954478
2017-01-04,14.92,15.21,14.85,15.08,9127800,14.964401
2017-01-03,14.95,15.14,14.62,14.85,12502200,14.736165
2016-12-30,15.00,15.10,14.77,14.84,9187100,14.726241
2016-12-29,14.93,15.04,14.87,14.94,4904600,14.825474
2016-12-28,15.18,15.31,14.93,14.94,5175100,14.825474
2016-12-27,15.14,15.24,15.13,15.21,4408500,15.093405
2016-12-23,15.11,15.18,15.02,15.10,6305600,14.984248
2016-12-22,15.22,15.27,14.94,15.14,7591700,15.023942
2016-12-21,15.09,15.36,15.09,15.14,8133100,15.023942
2016-12-20,15.16,15.22,15.00,15.08,12148600,14.964401
2016-12-19,15.03,15.16,14.91,15.12,10344100,15.004095
2016-12-16,15.47,15.54,15.05,15.05,19766500,14.934631
2016-12-15,15.54,15.65,15.40,15.51,10122200,15.391105
2016-12-14,15.77,15.90,15.53,15.61,10637800,15.490338
2016-12-13,15.71,15.95,15.69,15.82,10979400,15.698728
2016-12-12,15.41,15.84,15.41,15.83,12704700,15.708652
2016-12-09,16.08,16.15,15.74,15.78,9865100,15.527055
2016-12-08,16.139999,16.25,16.10,16.16,9581900,15.900963
2016-12-07,15.62,16.17,15.60,16.15,11679200,15.891124
2016-12-06,15.51,15.64,15.46,15.60,6886900,15.349941
2016-12-05,15.26,15.55,15.26,15.55,11538500,15.300742
2016-12-02,15.03,15.30,15.02,15.12,8377100,14.877634
2016-12-01,15.41,15.48,15.02,15.06,12821700,14.818596
2016-11-30,15.17,15.53,15.11,15.40,15933300,15.153146
2016-11-29,15.06,15.32,15.03,15.15,9762900,14.907153
2016-11-28,15.06,15.20,15.00,15.08,12791800,14.838275
